,0,1,2,3
0,20,young-adult,young,*
1,66,old,adult,*
2,95,old,adult,*
3,17,child,young,*
4,53,adult,adult,*
5,41,adult,adult,*
6,14,child,young,*
7,27,young-adult,young,*
8,29,young-adult,young,*
9,30,adult,adult,*
10,61,old,adult,*
11,75,old,adult,*
12,40,adult,adult,*
13,94,old,adult,*
14,90,old,adult,*
15,73,old,adult,*
16,31,adult,adult,*
17,98,old,adult,*
18,41,adult,adult,*
19,99,old,adult,*
20,92,old,adult,*
21,43,adult,adult,*
22,36,adult,adult,*
23,55,adult,adult,*
24,73,old,adult,*
25,29,young-adult,young,*
26,47,adult,adult,*
27,33,adult,adult,*
28,23,young-adult,young,*
29,59,adult,adult,*
30,8,child,young,*
31,62,old,adult,*
32,73,old,adult,*
33,72,old,adult,*
34,35,adult,adult,*
35,43,adult,adult,*
36,80,old,adult,*
37,58,adult,adult,*
38,19,young-adult,young,*
39,77,old,adult,*
40,84,old,adult,*
41,37,adult,adult,*
42,8,child,young,*
43,55,adult,adult,*
44,62,old,adult,*
45,64,old,adult,*
46,57,adult,adult,*
47,89,old,adult,*
48,38,adult,adult,*
49,25,young-adult,young,*
50,98,old,adult,*
51,59,adult,adult,*
52,15,child,young,*
53,72,old,adult,*
54,48,adult,adult,*
55,48,adult,adult,*
56,15,child,young,*
57,99,old,adult,*
58,83,old,adult,*
59,72,old,adult,*
60,57,adult,adult,*
61,22,young-adult,young,*
62,98,old,adult,*
63,54,adult,adult,*
64,56,adult,adult,*
65,76,old,adult,*
66,14,child,young,*
67,23,young-adult,young,*
68,71,old,adult,*
69,34,adult,adult,*
70,26,young-adult,young,*
71,98,old,adult,*
72,79,old,adult,*
73,14,child,young,*
74,51,adult,adult,*
75,95,old,adult,*
76,66,old,adult,*
77,30,adult,adult,*
78,31,adult,adult,*
79,82,old,adult,*
80,79,old,adult,*
81,53,adult,adult,*
82,6,child,young,*
83,28,young-adult,young,*
84,34,adult,adult,*
85,34,adult,adult,*
86,77,old,adult,*
87,93,old,adult,*
88,69,old,adult,*
89,6,child,young,*
90,4,child,young,*
91,21,young-adult,young,*
92,39,adult,adult,*
93,63,old,adult,*
94,40,adult,adult,*
95,83,old,adult,*
96,93,old,adult,*
97,5,child,young,*
98,19,young-adult,young,*
99,39,adult,adult,*
100,57,adult,adult,*
101,25,young-adult,young,*
102,41,adult,adult,*
103,18,young-adult,young,*
104,44,adult,adult,*
105,65,old,adult,*
106,49,adult,adult,*
107,26,young-adult,young,*
108,14,child,young,*
109,63,old,adult,*
110,96,old,adult,*
111,5,child,young,*
112,91,old,adult,*
113,74,old,adult,*
114,36,adult,adult,*
115,72,old,adult,*
116,2,child,young,*
117,27,young-adult,young,*
118,45,adult,adult,*
119,86,old,adult,*
120,80,old,adult,*
121,4,child,young,*
122,96,old,adult,*
123,94,old,adult,*
124,83,old,adult,*
125,70,old,adult,*
126,70,old,adult,*
127,52,adult,adult,*
128,50,adult,adult,*
129,14,child,young,*
130,32,adult,adult,*
131,95,old,adult,*
132,13,child,young,*
133,34,adult,adult,*
134,98,old,adult,*
135,97,old,adult,*
136,92,old,adult,*
137,67,old,adult,*
138,23,young-adult,young,*
139,45,adult,adult,*
140,43,adult,adult,*
141,47,adult,adult,*
142,89,old,adult,*
143,34,adult,adult,*
144,64,old,adult,*
145,12,child,young,*
146,86,old,adult,*
147,52,adult,adult,*
148,3,child,young,*
149,31,adult,adult,*
150,81,old,adult,*
151,65,old,adult,*
152,96,old,adult,*
153,30,adult,adult,*
154,95,old,adult,*
155,6,child,young,*
156,35,adult,adult,*
157,12,child,young,*
158,52,adult,adult,*
159,18,young-adult,young,*
160,15,child,young,*
161,39,adult,adult,*
162,13,child,young,*
163,17,child,young,*
164,69,old,adult,*
165,11,child,young,*
166,81,old,adult,*
167,90,old,adult,*
168,59,adult,adult,*
169,23,young-adult,young,*
170,56,adult,adult,*
171,14,child,young,*
172,42,adult,adult,*
173,42,adult,adult,*
174,80,old,adult,*
175,6,child,young,*
176,32,adult,adult,*
177,83,old,adult,*
178,4,child,young,*
179,48,adult,adult,*
180,93,old,adult,*
181,2,child,young,*
182,43,adult,adult,*
183,97,old,adult,*
184,95,old,adult,*
185,6,child,young,*
186,84,old,adult,*
187,92,old,adult,*
188,16,child,young,*
189,98,old,adult,*
190,35,adult,adult,*
191,38,adult,adult,*
192,52,adult,adult,*
193,50,adult,adult,*
194,47,adult,adult,*
195,30,adult,adult,*
196,23,young-adult,young,*
197,31,adult,adult,*
198,39,adult,adult,*
199,28,young-adult,young,*
200,42,adult,adult,*
201,35,adult,adult,*
202,98,old,adult,*
203,73,old,adult,*
204,55,adult,adult,*
205,91,old,adult,*
206,50,adult,adult,*
207,95,old,adult,*
208,81,old,adult,*
209,9,child,young,*
210,24,young-adult,young,*
211,96,old,adult,*
212,20,young-adult,young,*
213,48,adult,adult,*
214,3,child,young,*
215,53,adult,adult,*
216,6,child,young,*
217,78,old,adult,*
218,6,child,young,*
219,83,old,adult,*
220,88,old,adult,*
221,61,old,adult,*
222,23,young-adult,young,*
223,95,old,adult,*
224,44,adult,adult,*
225,83,old,adult,*
226,52,adult,adult,*
227,20,young-adult,young,*
228,37,adult,adult,*
229,9,child,young,*
230,85,old,adult,*
231,99,old,adult,*
232,44,adult,adult,*
233,42,adult,adult,*
234,20,young-adult,young,*
235,82,old,adult,*
236,78,old,adult,*
237,88,old,adult,*
238,7,child,young,*
239,17,child,young,*
240,27,young-adult,young,*
241,49,adult,adult,*
242,56,adult,adult,*
243,88,old,adult,*
244,96,old,adult,*
245,66,old,adult,*
246,21,young-adult,young,*
247,56,adult,adult,*
248,66,old,adult,*
249,15,child,young,*
250,81,old,adult,*
251,7,child,young,*
