,0,1,2
0,397,mid,*
1,983,high,*
2,788,high,*
3,865,high,*
4,661,high,*
5,139,high_low,*
6,953,high,*
7,235,mid,*
8,284,mid,*
9,752,high,*
10,616,high,*
11,443,mid,*
12,892,high,*
13,141,high_low,*
14,138,high_low,*
15,434,mid,*
16,858,high,*
17,215,mid,*
18,725,high,*
19,417,mid,*
20,769,high,*
21,710,high,*
22,264,mid,*
23,106,high_low,*
24,371,mid,*
25,564,high,*
26,120,high_low,*
27,530,mid,*
28,779,high,*
29,807,high,*
30,78,high_low,*
31,36,low,*
32,401,mid,*
33,324,mid,*
34,453,mid,*
35,715,high,*
36,543,mid,*
37,914,high,*
38,634,high,*
39,178,high_low,*
40,215,mid,*
41,736,high,*
42,326,mid,*
43,220,mid,*
44,13,low,*
45,918,high,*
46,737,high,*
47,205,mid,*
48,920,high,*
49,355,mid,*
50,728,high,*
51,853,high,*
52,574,high,*
53,999,high,*
54,85,high_low,*
55,475,mid,*
56,130,high_low,*
57,74,high_low,*
58,85,high_low,*
59,141,high_low,*
60,643,high,*
61,339,mid,*
62,842,high,*
63,332,mid,*
64,261,mid,*
65,516,mid,*
66,531,mid,*
67,73,high_low,*
68,431,mid,*
69,85,high_low,*
70,36,low,*
71,757,high,*
72,722,high,*
73,333,mid,*
74,825,high,*
75,231,mid,*
76,399,mid,*
77,127,high_low,*
78,953,high,*
79,781,high,*
80,503,mid,*
81,638,high,*
82,759,high,*
83,227,mid,*
84,673,high,*
85,629,high,*
86,733,high,*
87,125,high_low,*
88,547,mid,*
89,185,high_low,*
90,103,high_low,*
91,877,high,*
92,933,high,*
93,728,high,*
94,156,high_low,*
95,803,high,*
96,848,high,*
97,671,high,*
98,977,high,*
99,957,high,*
100,631,high,*
101,271,mid,*
102,971,high,*
103,94,high_low,*
104,977,high,*
105,906,high,*
106,972,high,*
107,654,high,*
108,551,high,*
109,57,high_low,*
110,642,high,*
111,928,high,*
112,375,mid,*
113,448,mid,*
114,978,high,*
115,518,mid,*
116,799,high,*
117,156,high_low,*
118,188,high_low,*
119,614,high,*
120,111,high_low,*
121,898,high,*
122,313,mid,*
123,839,high,*
124,203,mid,*
125,215,mid,*
126,663,high,*
127,494,mid,*
128,571,high,*
129,26,low,*
130,198,high_low,*
131,990,high,*
132,242,mid,*
133,996,high,*
134,206,mid,*
135,85,high_low,*
136,639,high,*
137,916,high,*
138,302,mid,*
139,959,high,*
140,918,high,*
141,532,mid,*
142,168,high_low,*
143,231,mid,*
144,909,high,*
145,951,high,*
146,95,high_low,*
147,955,high,*
148,924,high,*
149,294,mid,*
150,390,mid,*
151,262,mid,*
152,612,high,*
153,140,high_low,*
154,576,high,*
155,759,high,*
156,6,low,*
157,207,mid,*
158,714,high,*
159,757,high,*
160,307,mid,*
161,343,mid,*
162,633,high,*
163,706,high,*
164,710,high,*
165,971,high,*
166,175,high_low,*
167,59,high_low,*
168,760,high,*
169,702,high,*
170,183,high_low,*
171,576,high,*
172,778,high,*
173,390,mid,*
174,358,mid,*
175,647,high,*
176,139,high_low,*
177,869,high,*
178,932,high,*
179,543,mid,*
180,941,high,*
181,911,high,*
182,105,high_low,*
183,171,high_low,*
184,36,low,*
185,562,high,*
186,109,high_low,*
187,425,mid,*
188,664,high,*
189,199,high_low,*
190,702,high,*
191,927,high,*
192,678,high,*
193,472,mid,*
194,674,high,*
195,900,high,*
196,690,high,*
197,363,mid,*
198,9,low,*
199,492,mid,*
200,414,mid,*
201,786,high,*
202,850,high,*
203,398,mid,*
204,447,mid,*
205,814,high,*
206,63,high_low,*
207,308,mid,*
208,82,high_low,*
209,89,high_low,*
210,561,high,*
211,987,high,*
212,280,mid,*
213,379,mid,*
214,991,high,*
215,947,high,*
216,728,high,*
217,25,low,*
218,841,high,*
219,857,high,*
220,829,high,*
221,371,mid,*
222,360,mid,*
223,508,mid,*
224,903,high,*
225,962,high,*
226,362,mid,*
227,288,mid,*
228,961,high,*
229,758,high,*
230,5,low,*
231,664,high,*
232,461,mid,*
233,100,high_low,*
234,606,high,*
235,542,mid,*
236,127,high_low,*
237,789,high,*
238,895,high,*
239,518,mid,*
240,654,high,*
241,709,high,*
242,965,high,*
243,658,high,*
244,502,mid,*
245,834,high,*
246,627,high,*
247,193,high_low,*
248,847,high,*
249,747,high,*
250,255,mid,*
251,886,high,*
252,586,high,*
253,192,high_low,*
254,700,high,*
255,571,high,*
256,738,high,*
257,502,mid,*
258,894,high,*
259,423,mid,*
260,106,high_low,*
261,874,high,*
262,302,mid,*
263,523,mid,*
264,739,high,*
265,39,low,*
266,261,mid,*
267,423,mid,*
268,723,high,*
269,216,mid,*
270,344,mid,*
271,76,high_low,*
272,482,mid,*
273,357,mid,*
274,852,high,*
275,843,high,*
276,300,mid,*
277,644,high,*
278,324,mid,*
279,597,high,*
280,645,high,*
281,199,high_low,*
282,392,mid,*
283,234,mid,*
284,761,high,*
285,388,mid,*
286,358,mid,*
287,708,high,*
288,485,mid,*
289,727,high,*
290,12,low,*
291,540,mid,*
292,100,high_low,*
293,544,mid,*
294,522,mid,*
295,425,mid,*
296,612,high,*
297,470,mid,*
298,7,low,*
299,817,high,*
300,505,mid,*
301,930,high,*
302,995,high,*
303,675,high,*
304,289,mid,*
305,99,high_low,*
306,299,mid,*
307,986,high,*
308,621,high,*
309,81,high_low,*
310,443,mid,*
311,34,low,*
312,620,high,*
313,122,high_low,*
314,852,high,*
315,988,high,*
316,912,high,*
317,280,mid,*
318,569,high,*
319,829,high,*
320,218,mid,*
321,78,high_low,*
322,94,high_low,*
323,812,high,*
324,792,high,*
325,411,mid,*
326,719,high,*
327,482,mid,*
328,322,mid,*
329,784,high,*
330,635,high,*
331,82,high_low,*
332,224,mid,*
333,876,high,*
334,641,high,*
335,726,high,*
336,819,high,*
337,837,high,*
338,363,mid,*
339,747,high,*
340,407,mid,*
341,998,high,*
342,770,high,*
343,597,high,*
344,543,mid,*
345,444,mid,*
346,583,high,*
347,714,high,*
348,630,high,*
349,344,mid,*
350,711,high,*
351,776,high,*
352,482,mid,*
353,567,high,*
354,478,mid,*
355,906,high,*
356,274,mid,*
357,405,mid,*
358,317,mid,*
359,195,high_low,*
360,84,high_low,*
361,562,high,*
362,260,mid,*
363,469,mid,*
364,473,mid,*
365,379,mid,*
366,556,high,*
367,468,mid,*
368,929,high,*
369,659,high,*
370,208,mid,*
371,373,mid,*
372,439,mid,*
373,773,high,*
374,564,high,*
375,429,mid,*
376,671,high,*
377,403,mid,*
378,796,high,*
379,939,high,*
380,748,high,*
381,921,high,*
382,165,high_low,*
383,723,high,*
384,210,mid,*
385,879,high,*
386,977,high,*
387,378,mid,*
388,706,high,*
389,601,high,*
390,944,high,*
391,876,high,*
392,838,high,*
393,583,high,*
394,287,mid,*
395,148,high_low,*
396,697,high,*
397,150,high_low,*
398,333,mid,*
399,203,mid,*
400,915,high,*
401,580,high,*
402,498,mid,*
403,814,high,*
404,870,high,*
405,673,high,*
406,953,high,*
407,17,low,*
408,697,high,*
409,368,mid,*
410,702,high,*
411,31,low,*
412,509,mid,*
413,321,mid,*
414,493,mid,*
415,692,high,*
416,544,mid,*
417,295,mid,*
418,935,high,*
419,468,mid,*
420,650,high,*
421,101,high_low,*
422,917,high,*
423,9,low,*
424,131,high_low,*
425,550,high,*
426,684,high,*
427,433,mid,*
428,85,high_low,*
429,551,high,*
430,458,mid,*
431,391,mid,*
432,800,high,*
433,145,high_low,*
434,924,high,*
435,23,low,*
436,889,high,*
437,617,high,*
438,799,high,*
439,349,mid,*
440,114,high_low,*
441,317,mid,*
442,481,mid,*
443,507,mid,*
444,463,mid,*
445,643,high,*
446,85,high_low,*
447,946,high,*
448,148,high_low,*
449,514,mid,*
450,194,high_low,*
451,444,mid,*
452,488,mid,*
453,475,mid,*
454,650,high,*
455,393,mid,*
456,984,high,*
457,145,high_low,*
458,941,high,*
459,857,high,*
460,673,high,*
461,935,high,*
462,908,high,*
463,240,mid,*
464,216,mid,*
465,692,high,*
466,797,high,*
467,656,high,*
468,472,mid,*
469,756,high,*
470,694,high,*
471,31,low,*
472,374,mid,*
473,978,high,*
474,494,mid,*
475,317,mid,*
476,251,mid,*
477,849,high,*
478,291,mid,*
479,713,high,*
480,401,mid,*
481,990,high,*
482,397,mid,*
483,507,mid,*
484,375,mid,*
485,558,high,*
486,914,high,*
487,816,high,*
488,708,high,*
489,70,high_low,*
490,934,high,*
491,196,high_low,*
492,480,mid,*
493,108,high_low,*
494,969,high,*
495,506,mid,*
496,875,high,*
497,142,high_low,*
498,83,high_low,*
499,230,mid,*
500,12,low,*
